                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2154,                 3.3179,                 1.4255,                0.39333,                 0.5427,                0.43442,                0.29605,                0.96527,                 2.5397,                 1.2385,              0.0003679,              0.0003679,              0.0003679
                      2,                 1.1556,                 2.5533,                 1.3245,                0.64982,                0.39999,                0.54974,                0.37911,                0.98848,                  2.109,                 1.2276,             0.00072361,             0.00072361,             0.00072361
                      3,                 1.1588,                 2.2372,                 1.3274,                0.66947,                 0.6553,                0.73539,                0.50403,                 1.0547,                 1.6956,                 1.2844,              0.0010647,              0.0010647,              0.0010647
                      4,                  1.112,                 1.9913,                 1.3035,                0.73845,                0.66585,                0.73742,                0.50852,                0.97868,                 1.6073,                 1.2428,               0.001045,               0.001045,               0.001045
                      5,                 1.1322,                 1.8727,                  1.308,                0.79197,                0.72587,                0.83144,                0.59752,                0.97702,                 1.2709,                 1.2199,               0.001045,               0.001045,               0.001045
                      6,                 1.0815,                 1.6902,                 1.2781,                0.80563,                0.69277,                0.86229,                 0.6479,                 0.8954,                  1.253,                 1.1663,               0.001023,               0.001023,               0.001023
                      7,                 1.0437,                 1.5388,                 1.2377,                0.84206,                0.74595,                0.86389,                0.65909,                0.86965,                 1.0855,                 1.1655,               0.001001,               0.001001,               0.001001
                      8,                 1.0081,                  1.427,                 1.2207,                0.82436,                 0.7826,                0.89259,                0.67865,                0.87093,                  1.307,                 1.1742,             0.00097901,             0.00097901,             0.00097901
                      9,                0.99206,                 1.3684,                 1.2123,                0.83896,                 0.8426,                0.92695,                0.71182,                 0.8945,                0.94414,                 1.1639,             0.00095702,             0.00095702,             0.00095702
                     10,                0.97352,                 1.3085,                 1.2026,                0.84266,                0.83042,                0.91325,                0.69604,                0.89228,                0.94323,                 1.1634,             0.00093502,             0.00093502,             0.00093502
                     11,                0.97026,                 1.2765,                 1.2091,                0.87641,                0.86224,                0.92174,                0.71034,                0.86959,                0.92092,                 1.1444,             0.00091302,             0.00091302,             0.00091302
                     12,                0.93022,                 1.1675,                 1.1648,                0.93689,                 0.8283,                0.91557,                0.72273,                0.77065,                0.78413,                 1.1041,             0.00089102,             0.00089102,             0.00089102
                     13,                0.92163,                  1.151,                 1.1653,                0.94404,                0.85212,                0.94376,                0.74052,                0.79893,                 0.7344,                 1.0987,             0.00086902,             0.00086902,             0.00086902
                     14,                 0.8994,                 1.1204,                 1.1634,                0.94583,                0.87325,                0.94238,                0.76969,                0.75851,                0.72975,                 1.0698,             0.00084703,             0.00084703,             0.00084703
                     15,                0.89069,                 1.0897,                 1.1528,                0.93306,                0.87531,                0.94955,                0.75699,                0.79862,                0.71891,                 1.0932,             0.00082503,             0.00082503,             0.00082503
                     16,                0.87378,                 1.0309,                 1.1318,                0.88734,                0.88354,                0.94363,                0.74319,                0.85139,                0.73266,                 1.1299,             0.00080303,             0.00080303,             0.00080303
                     17,                0.87548,                 1.0036,                 1.1496,                0.94232,                0.92781,                0.95462,                0.79745,                0.68871,                0.61276,                 1.0177,             0.00078103,             0.00078103,             0.00078103
                     18,                0.85716,                0.99461,                 1.1322,                0.93747,                0.90678,                0.96963,                 0.8017,                0.72022,                 0.6047,                 1.0456,             0.00075904,             0.00075904,             0.00075904
                     19,                0.83702,                 0.9821,                 1.1173,                0.97933,                0.92022,                0.97675,                0.79988,                0.74739,                0.58894,                 1.0774,             0.00073704,             0.00073704,             0.00073704
                     20,                0.84346,                0.92543,                 1.1197,                0.93297,                0.92279,                0.97127,                0.79115,                0.74717,                0.56586,                  1.046,             0.00071504,             0.00071504,             0.00071504
                     21,                0.80641,                0.89613,                 1.1007,                0.92426,                0.93255,                0.97392,                0.78558,                0.74854,                0.56765,                 1.0582,             0.00069304,             0.00069304,             0.00069304
                     22,                0.81656,                0.89522,                 1.1053,                0.96497,                0.90959,                0.96573,                0.78587,                0.72675,                 0.5932,                 1.0461,             0.00067104,             0.00067104,             0.00067104
                     23,                0.79997,                0.87919,                  1.098,                0.97897,                0.95565,                0.97923,                0.80878,                0.70583,                0.53271,                 1.0201,             0.00064905,             0.00064905,             0.00064905
                     24,                0.80443,                0.83938,                 1.0949,                0.93634,                 0.9176,                0.96044,                0.79752,                0.72473,                0.54106,                  1.027,             0.00062705,             0.00062705,             0.00062705
                     25,                0.78743,                0.85192,                 1.1017,                0.96991,                 0.9332,                0.97424,                0.81466,                0.70592,                0.52909,                 1.0169,             0.00060505,             0.00060505,             0.00060505
